Brand,Similar Brands,Coocurrence Frequency
213 Industry,Sunday's Best,1000.0
213 Industry,iS Clinical,1000.0
213 Industry,Sun 68,500.0
213 Industry,Sun,500.0
213 Industry,Magrit,500.0
213 Industry,J. Rae,500.0
213 Industry,Sulfur8,500.0
213 Industry,Belle & Bunty,333.3333
213 Industry,Rialto,333.3333
213 Industry,Nicoli,333.3333
7 For All Mankind,Accessory Network,1000.0
7 For All Mankind,Baby Einstein,1000.0
7 For All Mankind,Baby Gear,1000.0
7 For All Mankind,Couleur de Rose,1000.0
7 For All Mankind,ESQ,1000.0
7 For All Mankind,Glima,1000.0
7 For All Mankind,Graco,1000.0
7 For All Mankind,KC Collections,1000.0
7 For All Mankind,Libbey,1000.0
7 For All Mankind,Multiples,1000.0
A. Marinelli,Kenetrek,1000.0
A. Marinelli,Amaort,1000.0
A. Marinelli,Spencer Alexis,1000.0
A. Marinelli,Autunno,1000.0
A. Marinelli,Avenue Montaigne,1000.0
A. Marinelli,Farron Elizabeth,1000.0
A. Marinelli,Alpro,1000.0
A. Marinelli,Harlot,1000.0
A. Marinelli,Dash & Albert,1000.0
A. Marinelli,Minton,1000.0
ABS by Allen Schwartz,Accessory Network,1000.0
ABS by Allen Schwartz,Briggs,1000.0
ABS by Allen Schwartz,FEA,1000.0
ABS by Allen Schwartz,Denby,1000.0
ABS by Allen Schwartz,Muratori,1000.0
ABS by Allen Schwartz,Libbey,1000.0
ABS by Allen Schwartz,Beth Lauren,1000.0
ABS by Allen Schwartz,Tria Beauty,1000.0
ABS by Allen Schwartz,LittleMissMatched,1000.0
ABS by Allen Schwartz,Body Angel Activewear,1000.0
AG Jeans,Timbuk2,1000.0
AG Jeans,Briggs,1000.0
AG Jeans,D-Segno,1000.0
AG Jeans,ESQ,1000.0
AG Jeans,Amaort,1000.0
AG Jeans,Body Angel Activewear,1000.0
AG Jeans,Brodie,1000.0
AG Jeans,Spencer Alexis,1000.0
AG Jeans,Aaneta,1000.0
AG Jeans,Bostonian,1000.0
AK Anne Klein,Breo,1000.0
AK Anne Klein,Muratori,1000.0
AK Anne Klein,Six Degrees,1000.0
AK Anne Klein,Spencer Alexis,1000.0
AK Anne Klein,Aaneta,1000.0
AK Anne Klein,Austin Reed,1000.0
AK Anne Klein,Farron Elizabeth,1000.0
AK Anne Klein,Liz Rene Couture,1000.0
AK Anne Klein,Kay J's by Kay Unger,1000.0
AK Anne Klein,Oroblu,1000.0
AWOL Footwear,Lightfoot,1000.0
AWOL Footwear,Eva Turner,1000.0
AWOL Footwear,Panda,1000.0
AWOL Footwear,Hemisphere,1000.0
AWOL Footwear,Catstudio,500.0
AWOL Footwear,Wimbledon,500.0
AWOL Footwear,Final Home,500.0
AWOL Footwear,Camp Rock,500.0
AWOL Footwear,Leather Island,500.0
AWOL Footwear,Snoopy,500.0
Accessory Network,Milly Cabana,83.3333
Accessory Network,Scoop,76.9231
Accessory Network,Comptoir Sud Pacifique,66.6667
Accessory Network,Zagliani,38.4615
Accessory Network,Royal Underground,37.037
Accessory Network,Guiseppe Zanotti,31.25
Accessory Network,Pierre Cardin,29.4118
Accessory Network,18th Amendment,29.4118
Accessory Network,CARGO,21.2766
Accessory Network,Ya-Ya,16.3934
adidas,AWOL Footwear,1000.0
adidas,Accessory Network,1000.0
adidas,Breo,1000.0
adidas,Brodie,1000.0
adidas,D-Segno,1000.0
adidas,ESQ,1000.0
adidas,Spoon,1000.0
adidas,Twenty Shoes,1000.0
adidas,Naomi,1000.0
adidas,LittleMissMatched,1000.0
Adrianna Papell,Bobster Eyewear,1000.0
Adrianna Papell,D-Segno,1000.0
